pair_id,condition,task_id,domain,score_base,score_manipulated,delta,abs_delta,direction_is_positive,base_chars,manip_chars,delta_chars,base_tokens,manip_tokens,delta_tokens
pair_13_length,length,task_faraday_induction,electromagnetism,1.7575358212791983,0.21073886459018504,-1.5467969566890132,1.5467969566890132,False,66,309,243,9,37,28
pair_13_format,format,task_faraday_induction,electromagnetism,1.8086706525318235,0.2232962383080364,-1.585374414223787,1.585374414223787,False,161,175,14,22,25,3
pair_13_lexical,lexical,task_faraday_induction,electromagnetism,1.8086706525318235,0.7914747516008924,-1.017195900930931,1.017195900930931,False,161,184,23,22,23,1
pair_13_context,context,task_faraday_induction,electromagnetism,1.8086031911570872,1.2750907807007281,-0.5335124104563591,0.5335124104563591,False,161,264,103,22,36,14
pair_14_persona,persona,task_embryonic_stages,developmental_biology,-0.20445917584190854,-0.6381137985314814,-0.4336546226895729,0.4336546226895729,False,220,214,-6,27,28,1
pair_14_length,length,task_embryonic_stages,developmental_biology,1.9784246998951338,0.40390047495431225,-1.5745242249408216,1.5745242249408216,False,63,306,243,9,37,28
pair_14_format,format,task_embryonic_stages,developmental_biology,0.6500099396170971,-0.4312951097783989,-1.081305049395496,1.081305049395496,False,155,199,44,21,27,6
pair_14_lexical,lexical,task_embryonic_stages,developmental_biology,0.6500099396170971,0.8353194412604109,0.18530950164331383,0.18530950164331383,True,155,182,27,21,22,1
pair_14_context,context,task_embryonic_stages,developmental_biology,0.6500099396170971,0.39755456540636525,-0.25245537421073183,0.25245537421073183,False,155,253,98,21,35,14
pair_15_persona,persona,task_doppler_effect,wave_physics,0.7290526955249322,0.1579111638183474,-0.5711415317065849,0.5711415317065849,False,216,211,-5,29,29,0
pair_15_length,length,task_doppler_effect,wave_physics,1.6834257705974442,0.6454469713351086,-1.0379787992623357,1.0379787992623357,False,59,289,230,10,37,27
pair_15_format,format,task_doppler_effect,wave_physics,1.7342401548344346,0.2065797664955072,-1.5276603883389275,1.5276603883389275,False,155,198,43,22,26,4
pair_15_lexical,lexical,task_doppler_effect,wave_physics,1.7342401548344346,1.6130070508726868,-0.1212331039617478,0.1212331039617478,False,155,172,17,22,22,0
pair_15_context,context,task_doppler_effect,wave_physics,1.7337630992625122,1.2201144404208697,-0.5136486588416425,0.5136486588416425,False,155,253,98,22,36,14
pair_16_persona,persona,task_dendroclimatology,paleoclimatology,-1.272208679611527,-1.5316662537502421,-0.25945757413871506,0.25945757413871506,False,225,228,3,29,31,2
pair_16_length,length,task_dendroclimatology,paleoclimatology,1.6337370195786596,0.06981619502485173,-1.5639208245538079,1.5639208245538079,False,63,321,258,12,37,25
